OCC,SOCXX,OCCUPATION
7540,499094,Locksmiths and Safe Repairers
7550,4990XX,"Miscellaneous Installation, Maintenance, and Repair Workers, Including, Wind Turbine Service Technicians"
7560,499096,Riggers
7600,4990XX,"Miscellaneous Installation, Maintenance, and Repair Workers, Including, Wind Turbine Service Technicians"
7610,499098,"Helpers--Installation, Maintenance, and Repair Workers"
7620,4990XX,"Miscellaneous Installation, Maintenance, and Repair Workers, Including, Wind Turbine Service Technicians"
7630,4990XX,"Miscellaneous Installation, Maintenance, and Repair Workers, Including, Wind Turbine Service Technicians"
7700,511011,First-Line Supervisors of Production and Operating Workers
7710,512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
7720,512020,"Electrical, Electronics, and Electromechanical Assemblers"
7730,512031,Engine and Other Machine Assemblers
7740,512041,Structural Metal Fabricators and Fitters
7750,512090,Miscellaneous Assemblers and Fabricators
7800,513011,Bakers
7810,513020,"Butchers and Other Meat, Poultry, and Fish Processing Workers"
7830,513091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders"
7840,513092,Food Batchmakers
7850,513093,Food Cooking Machine Operators and Tenders
7855,5191XX,"Micellaneous Production Workers, Including Semiconductor Processors"
7900,514010,Computer Control Programmers and Operators
7920,514021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
7930,514022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic"
7940,514023,"Rolling Machine Setters, Operators, and Tenders, metal and Plastic"
7950,514030,"Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic"
7960,514030,"Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic"
8000,514030,"Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic"
8010,514030,"Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic"
8020,514030,"Machine Tool Cutting setters, Operators, and Tenders, Metal and Plastic"
8030,514041,Machinists
8040,514050,"Metal Furnace Operators, Tenders, Pourers, and Casters"
8060,5140XX,"Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic"
8100,5140XX,"Model Makers, Patternmakers, and Molding Machine Setters, Metal and Plastic"
8120,514XXX,"Miscellaneous Metal Workers and Plastic Workers, Including Multiple Machine Tool Setters"
8130,514111,Tool and Die Makers
8140,514120,"Welding, Soldering, and Brazing Workers"
8150,514XXX,"Miscellaneous Metal Workers and Plastic Workers, Including Multiple Machine Tool Setters"
8160,514XXX,"Miscellaneous Metal Workers and Plastic Workers, Including Multiple Machine Tool Setters"
8200,514XXX,"Miscellaneous Metal Workers and Plastic Workers, Including Multiple Machine Tool Setters"
8210,514XXX,"Miscellaneous Metal Workers and Plastic Workers, Including Multiple Machine Tool Setters"
8220,514XXX,"Miscellaneous Metal Workers and Plastic Workers, Including Multiple Machine Tool Setters"
8230,515113,Print Binding and Finishing Workers
8240,515113,Print Binding and Finishing Workers
8250,515111,Prepress Technicians and Workers
8255,515113,Print Binding and Finishing Workers
8256,515113,Print Binding and Finishing Workers
8260,515113,Print Binding and Finishing Workers
8300,516011,Laundry and Dry-Cleaning Workers
8310,516021,"Pressers, Textile, Garment, and Related Materials"
8320,516031,Sewing Machine Operators
8330,516040,Shoe and Leather Workers
8340,516040,Shoe and Leather Workers
8350,516050,"Tailors, Dressmakers, and Sewers"
8360,51606X,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders"
8400,51606X,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders"
8410,516063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
8420,516064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders"
8430,51609X,"Miscellaneous textile, apparel, and furnishings workers except upholsterers"
8440,51609X,"Miscellaneous textile, apparel, and furnishings workers except upholsterers"
8450,516093,Upholsterers
8460,51609X,"Miscellaneous textile, apparel, and furnishings workers except upholsterers"
8500,517011,Cabinetmakers and Bench Carpenters
8510,517021,Furniture Finishers
8520,5170XX,Miscellaneous woodworkers including model makers and patternmakers
8530,517041,"Sawing Machine Setters, Operators, and Tenders, Wood"
8540,517042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
8550,5170XX,Miscellaneous woodworkers including model makers and patternmakers
8600,518010,"Power Plant Operators, Distributors, and Dispatchers"
8610,518021,Stationary Engineers and Boiler Operators
8620,518031,Water and Wastewater Treatment Plant and System Operators
8630,518090,Miscellaneous Plant and System Operators
8640,519010,"Chemical Processing Machine Setters, Operators, and Tenders"
8650,519020,"Crushing, Grinding, Polishing, Mixing, and Blending Workers"
8710,519030,Cutting Workers
8720,519041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
8730,519051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
8740,519061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
8750,519071,Jewelers and Precious Stone and Metal Workers
8760,519080,"Medical, Dental, and Ophthalmic Laboratory Technicians"
8800,519111,Packaging and Filling Machine Operators and Tenders
8810,519120,Painting Workers
8830,519151,Photographic Process Workers and Processing Machine Operators
8840,5191XX,"Micellaneous Production Workers, Including Semiconductor Processors"
8850,519191,Adhesive Bonding Machine Operators and Tenders
8860,5191XX,"Micellaneous Production Workers, Including Semiconductor Processors"
8900,5191XX,"Micellaneous Production Workers, Including Semiconductor Processors"
8910,519194,Etchers and Engravers
8920,519195,"Molders, Shapers, and Casters, Except Metal and Plastic"
8930,519196,"Paper Goods Machine Setters, Operators, and Tenders"
8940,519197,Tire Builders
8950,519198,Helpers--Production Workers
8960,5191XX,"Micellaneous Production Workers, Including Semiconductor Processors"
8965,5191XX,"Micellaneous Production Workers, Including Semiconductor Processors"
9000,531000,Supervisors ofTransportation and Material Moving Workers
9030,532010,Aircraft Pilots and Flight Engineers
9040,532020,Air Traffic Controllers and Airfield Operations Specialists
9050,396030,Transportation Attendants
9100,533XXX,Bus and Ambulance Drivers and Attendants
9110,533011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
9120,533020,Bus Drivers
9130,533030,Driver/Sales Workers and Truck Drivers
9140,533041,Taxi Drivers and Chauffeurs
9150,533099,"Motor Vehicle Operators, All Other"
9200,534010,Locomotive Engineers and Operators
9230,5340XX,"Subway, Streetcar, and Other Rail Transportation Workers"
9240,534031,Railroad Conductors and Yardmasters
9260,5340XX,"Subway, Streetcar, and Other Rail Transportation Workers"
9300,5350XX,"Sailors and marine oilers, and ship engineers"
9310,535020,Ship and Boat Captains and Operators
9330,5350XX,"Sailors and marine oilers, and ship engineers"
9340,5360XX,Miscellaneous transportation workers including bridge and lock tenders and traffic technicians
9350,536021,Parking Lot Attendants
9360,5360XX,Miscellaneous transportation workers including bridge and lock tenders and traffic technicians
9410,536051,Transportation Inspectors
9415,396030,Transportation Attendants
9420,5360XX,Miscellaneous transportation workers including bridge and lock tenders and traffic technicians
9500,5370XX,"Conveyor operators and tenders, and hoist and winch operators"
9510,537021,Crane and Tower Operators
9520,537030,"Dredge, Excavating, and Loading Machine Operators"
9560,5370XX,"Conveyor operators and tenders, and hoist and winch operators"
9600,537051,Industrial Truck and Tractor Operators
9610,537061,Cleaners of Vehicles and Equipment
9620,537062,"Laborers and Freight, Stock, and Material Movers, Hand"
9630,537063,Machine Feeders and Offbearers
9640,537064,"Packers and Packagers, Hand"
9650,537070,Pumping Station Operators
